Date,Description,Amount
2025-01-02,Stripe payment - Online store,1450.75
2025-01-03,Office rent - January,-1200.0
2025-01-04,WeWork membership,-450.0
2025-01-05,Amazon Business - office supplies,-89.99
2025-01-06,Uber trip - client meeting,-23.5
2025-01-07,Google Workspace subscription,-18.0
2025-01-08,Meta Ads - Facebook campaign,-250.0
2025-01-09,Restaurant - client lunch,-74.2
2025-01-10,Stripe payment - Online store,980.4
2025-01-11,Electricity bill,-135.6
2025-01-12,Internet bill,-59.9
2025-01-13,Upwork contractor payment,-300.0
2025-01-14,Shopify plan,-39.0
2025-01-15,PayPal customer payment,620.0
2025-01-16,Bank service fee,-15.0
2025-01-17,QuickBooks subscription,-30.0
2025-01-18,Train ticket - client visit,-42.0
2025-01-19,Office snacks,-28.75
2025-01-20,Stripe payment - Online store,1534.1
2025-01-21,Tax prepayment,-500.0
2025-01-22,Insurance premium,-210.0
2025-01-23,Zoom Pro subscription,-14.99
2025-01-24,Client refund,-120.0
2025-01-25,Interest income,4.75
2025-01-26,Adobe Creative Cloud,-52.0
2025-01-27,Business trip hotel,-320.0
2025-01-28,Airline ticket - business trip,-580.0
2025-01-29,Stripe payment - Online store,890.3
2025-01-30,Owner capital contribution,2000.0
