"description,category"
"Office rent - January,Rent & Office"
"Office rent - February,Rent & Office"
"WeWork membership - Soho,Rent & Office"
"Electricity bill,Utilities"
"Internet bill,Utilities"
"Meta Ads - Facebook campaign,Advertising & Marketing"
"Google Ads - search campaign,Advertising & Marketing"
"Uber trip - client meeting,Travel & Transport"
"Train ticket - client visit,Travel & Transport"
"Airbnb - business trip,Travel & Transport"
"Stripe payment - Online store,Sales Income"
"PayPal customer payment,Sales Income"
"Shopify payout,Sales Income"
"Interest income,Interest & Other Income"
"Bank service fee,Bank & Fees"
"QuickBooks subscription,Software & Subscriptions"
"Zoom Pro subscription,Software & Subscriptions"
"Adobe Creative Cloud,Software & Subscriptions"
"Tax prepayment,Taxes"
"Upwork contractor payment,Payroll & Contractors"
"Restaurant - client lunch,Other Expense"
"Office snacks,Other Expense"
