description,category
Office rent - January,Rent & Office
Office rent - February,Rent & Office
WeWork membership - Midtown,Rent & Office
Coworking space - December,Rent & Office
Regus office lease,Rent & Office
Shared office space subscription,Rent & Office
Electricity bill,Utilities
Internet bill,Utilities
Gas utility invoice,Utilities
Water bill,Utilities
Energy supplier - monthly,Utilities
Upwork contractor payment,Payroll & Contractors
Freelance designer invoice,Payroll & Contractors
Freelance developer payment,Payroll & Contractors
Salary payment - Employee A,Payroll & Contractors
Payroll transfer - November,Payroll & Contractors
Uber trip - client meeting,Travel & Transport
UBER *TRIP HELP.UBER.COM CA,Travel & Transport
Lyft ride to airport,Travel & Transport
Train ticket - client visit,Travel & Transport
Deutsche Bahn ICE ticket,Travel & Transport
Airline ticket - business trip,Travel & Transport
Hotel stay - New York business trip,Travel & Transport
Taxi ride - office to client,Travel & Transport
Office supplies - Amazon Business,Supplies & Inventory
Stationery - Staples,Supplies & Inventory
Warehouse inventory purchase,Supplies & Inventory
Raw materials order,Supplies & Inventory
Bulk paper stock,Supplies & Inventory
QuickBooks subscription,Software & Subscriptions
Zoom Pro subscription,Software & Subscriptions
Adobe Creative Cloud,Software & Subscriptions
Google Workspace subscription,Software & Subscriptions
Microsoft 365 Business,Software & Subscriptions
Slack subscription,Software & Subscriptions
OPENAI *CHATGPT SUBSCR OPENAI.COM CA,Software & Subscriptions
Cloud hosting - AWS,Software & Subscriptions
Meta Ads - Facebook campaign,Advertising & Marketing
Google Ads - search campaign,Advertising & Marketing
LinkedIn Ads - lead generation,Advertising & Marketing
Instagram ads - brand awareness,Advertising & Marketing
Billboard advertising - local,Advertising & Marketing
Newsletter sponsorship,Advertising & Marketing
Bank service fee,Bank & Fees
Overdraft fee,Bank & Fees
Card processing commission,Bank & Fees
Stripe chargeback fee,Bank & Fees
Foreign transaction fee,Bank & Fees
Tax prepayment,Taxes
VAT payment,Taxes
Quarterly estimated tax payment,Taxes
Sales tax remittance,Taxes
Restaurant - client lunch,Other Expense
Office snacks,Other Expense
Team building event,Other Expense
BH* BETTERHELP BETTERHELP.CO CA,Other Expense
JUBILEE MARKET PLACE NEW YORK NY,Other Expense
Movie night - team outing,Other Expense
Coffee for client meeting,Other Expense
Stripe payment - Online store,Sales Income
Stripe payout - e-commerce,Sales Income
PayPal customer payment,Sales Income
Shopify payout,Sales Income
POS card payment - storefront,Sales Income
Customer invoice payment - ACH,Sales Income
Interest income,Interest & Other Income
Bank interest credit,Interest & Other Income
Cashback rewards,Interest & Other Income
Card reward rebate,Interest & Other Income
Owner capital contribution,Owner Contribution
Owner equity injection,Owner Contribution
Shareholder loan received,Owner Contribution
Miscellaneous income,Other Income
One-time reimbursement,Other Income
Refund from vendor,Other Income
